real,previsto
494.87921495873104,498.8493380596301
496.17510260037477,500.1477330485236
497.2215165196893,501.1960371018613
497.8203982159988,499.3696945025745
497.9656616950839,502.187296275478
497.68600910754265,501.17130992878424
497.28956580928605,499.63044464451394
496.9309796045442,497.73237633491425
497.16803118842597,498.2952737850979
495.8749868314292,495.2974546287952
494.49794324018455,496.2473038855606
493.3843270358949,495.92866541509176
492.86019186567853,493.89161482802814
493.2886197243481,495.1094361293551
493.8187337170402,496.42641267181546
493.92711309694056,497.2919990413065
493.7173112716795,499.3494583216074
493.204699465876,495.87757626733145
492.58966705323814,499.4771746695756
491.9897604654086,495.1247482656591
491.9504210201261,497.4911940674739
493.0082767003642,498.9105269390954
494.15239166918894,497.7938890935181
494.8883978262138,501.6700523166477
494.9110335382751,500.93344147849297
493.9814353515629,499.2595763861762
492.8228364898837,497.5624349822222
491.8379233426588,496.9596764555114
491.32837212163713,492.6123928087333
491.53038476167944,496.4006209280899
491.8867162396051,495.829610766974
492.0786397327621,493.26766643035785
490.8969309337344,493.1761213390177
486.71741186881536,489.3495384609133
481.60217404205844,483.43663803028494
477.67523734837704,479.1510801824502
473.72346240892136,476.82937046763203
468.91658139179054,470.35823622696597
464.1545448356423,467.43608216656384
460.2982131940089,462.28371281977553
458.3446920233335,464.5410887121333
457.1527133516936,454.3865006759193
456.1635712078553,467.53455618858715
456.50895473845645,465.2358190266235
456.1083136039245,463.1052907690535
455.60952030897664,456.8763444919523
455.9247954378901,449.4107316634915
456.9009975473006,450.21479944583695
460.3043581141894,457.3691820227898
466.75861247321086,462.9640238718646
473.5001401222361,469.5653318751177
479.7230074269796,476.47862465161506
485.241301797465,481.7220251631794
489.9888661154086,486.8912014609247
494.08046800391344,490.2981142294891
497.6081680390143,494.3901505317148
501.10770377485636,496.9652371616437
505.03439732841764,502.0878621610821
508.73171411520804,505.61225725043437
511.9688355540562,510.6079581811347
515.0380825700888,513.7727116181119
512.3907702373494,512.2502684179842
509.1682927340799,507.07982429617465
507.28090491787833,506.8739286473114
504.97281792285355,502.9429973889336
500.6137756645578,496.37046695038185
496.3331916734641,489.4302794703399
493.74370595682336,484.36283662680887
492.9771316310877,484.35288084795036
495.25303548487926,486.96286534115745
497.4668356310185,490.135993914803
498.07712403223843,494.47245867156704
497.5043096780669,491.1822194424466
494.64973188717534,489.45000351410266
491.6524447862514,486.96308613906905
490.1740839557763,488.44979122572335
490.29252495249244,495.3814219345216
491.43002048398546,496.70756745210235
492.70683219336144,498.2455827936214
493.85935743101044,498.49408764220783
494.1815324372017,498.42721260690246
493.4086320708892,496.75417572381247
492.2565079206803,496.2640760523214
490.80486094047137,494.3287091568608
490.3542518156663,493.50840763198744
491.48762358769176,493.9908563331288
493.08495387343754,495.95839722269454
494.6335760670041,497.6579325792156
496.51353798403073,499.02582714423306
499.08285509911485,501.66225580032705
501.658050857099,504.86930280075137
504.0092489264536,507.2592490375009
506.53422141052886,510.2525880424393
509.59698203817686,512.8854031384567
512.5966551160568,516.3019916168636
515.287621338887,518.6292907540588
513.7474102467763,516.9184019814161
511.93199427685425,515.1662541350188
510.59032077588614,514.0419223486407
509.76542106344067,513.341341656706
509.9146683921292,512.9351030911004
511.35538789603254,514.0384388909752
512.8151441624437,516.4302743965968
513.8095409222847,517.2600643533789
514.212082949198,517.9474530364575
513.9968154746564,518.0735126685662
513.5826932684021,518.9443456993
513.1751574555111,518.561431254544
513.4345492932787,518.9618223711317
514.9349148882291,521.3993036570737
516.4279543579346,523.4953116650171
517.3696770663229,524.2416205940693
517.7113408041215,525.0818334636889
517.5163933703031,526.6110398920243
517.0979961125208,526.5986653490754
516.636145344783,526.3922851331916
516.0724366603785,526.3278462903787
515.2759854439729,524.0738200563508
514.4820815255438,518.1766464856788
513.8188605440619,515.9300724663037
513.248825551135,521.0835031846444
512.6868954047244,513.451941369592
512.151551263385,514.1982361109184
511.6459039664106,512.8477978503845
511.03187556666256,512.315546587343
510.10400357770897,511.17008300067124
509.0731977673439,510.2324398813854
508.1176791913567,509.13196644420987
506.38228493611297,507.34437064590793
502.4461684785308,503.48183179714715
497.81525412825863,498.83832115343813
494.3405251891494,495.0615550475153
491.2200745387261,491.9139100119669
485.6799445587826,486.6543880937911
479.72727587978517,480.59167736002115
476.07898277175013,478.57704289046984
473.83303944628767,482.59756210971244
470.2870596353713,481.0197470924259
467.0748188084802,474.5142021253672
461.30074435566837,466.98341166945454
457.94040544012483,460.21632945068006
459.9939252669955,450.3368077236778
463.6300354804015,451.8634663554162
467.82290518381103,457.8614309469325
473.6639898138476,465.31253338138924
481.8756844811058,474.0805963512937
490.05410991081834,483.98241964596235
497.47528458374313,490.8193882765548
