real,previsto
245.906561800637,249.32141321387286
244.46833701236,246.85467363505154
242.890751180187,245.0194177104327
241.201644113395,243.61415608522788
239.412818013395,242.26122020970095
237.504318890482,240.46192537118768
235.39835655122505,237.3642370535565
233.015736743247,233.63615290441857
230.344366717768,230.53283358782122
227.58541257829495,229.30125231982512
224.374201323144,225.80980625962135
220.527567806003,220.50866060116988
216.027177465072,214.23040347968035
210.981874603103,207.38909153239163
205.581255914388,199.08423822737967
200.007836086148,190.16247011153058
194.374102309529,183.06599567761353
188.737459166038,176.549295720601
183.112568240901,170.40373688613198
177.50251296955398,165.90363226393632
171.92665192051498,161.20493750474702
166.453518903045,156.0325045367141
161.248341407329,152.6572909050944
156.46286214513398,150.6050711176474
152.13242438106002,149.3864532777128
148.205280700882,148.36531396565718
144.55508474246,146.5938938836656
141.051919000264,144.0288042850345
137.63103769096,141.07880504111242
134.290765010091,138.3440396373187
131.087627115284,136.3574761443377
128.087209384915,134.94695407568872
125.317012742945,133.8349628634121
122.728016512269,131.70895370924507
120.109026901605,129.20279958044128
117.188699329722,122.47282614498236
113.834183645624,111.37045615275818
110.119904900055,103.12769470166133
106.410299680863,97.5362405382981
103.221863615229,92.30183165370003
100.895930867825,87.82498437475104
100.237098011207,90.64570720153074
103.89110129121,99.36176788939322
114.371954636026,113.56032004708408
131.516931497397,129.96874885414888
153.108226667226,145.98848240576697
175.885135142117,160.72826808945385
197.549764972785,179.66176183417082
217.527562741381,200.72393434109114
235.531390717976,219.1635157192904
250.810728053608,232.5678990212504
263.14972861444903,244.14481377371328
273.118041675958,255.5263695689307
281.238703573796,265.45171752948136
287.698251063568,271.67352396445216
292.575881376972,275.43024906595605
296.04090936662203,277.791649210734
298.31065309553503,279.73214054442354
299.659328336999,282.31495377915087
300.32393053747603,285.03813476639766
300.416431540505,286.5994133098274
300.005886967138,287.0199841605395
299.218230087457,288.8384951621165
298.185088348321,291.75912081396393
296.975705515455,294.86871203663975
295.455318006193,295.3840122800182
292.994829392436,290.62534286540716
